Time, Study Part, Sample, Trial Number, In progress, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
122.0635,A,40,2,True,0,0,0,0,0,0,1
122.0746,A,40,2,True,0,0,0,0,0,0,1
122.0858,A,40,2,True,0,0,0,0,0,0,1
122.0969,A,40,2,True,0,0,0,0,0,0,1
122.108,A,40,2,True,0,0,0,0,0,0,1
122.1191,A,40,2,True,0,0,0,0,0,0,1
122.1302,A,40,2,True,0,0,0,0,0,0,1
122.1413,A,40,2,True,0,0,0,0,0,0,1
122.1524,A,40,2,True,0,0,0,0,0,0,1
122.1635,A,40,2,True,0,0,0,0,0,0,1
122.1746,A,40,2,True,0,0,0,0,0,0,1
122.1857,A,40,2,True,0,0,0,0,0,0,1
122.1968,A,40,2,True,0,0,0,0,0,0,1
122.2079,A,40,2,True,0,0,0,0,0,0,1
122.2191,A,40,2,True,0,0,0,0,0,0,1
122.2302,A,40,2,True,0,0,0,0,0,0,1
122.2413,A,40,2,True,0,0,0,0,0,0,1
122.2524,A,40,2,True,0,0,0,0,0,0,1
122.2635,A,40,2,True,0,0,0,0,0,0,1
122.2746,A,40,2,True,0,0,0,0,0,0,1
122.2857,A,40,2,True,0,0,0,0,0,0,1
122.2968,A,40,2,True,0,0,0,0,0,0,1
122.3079,A,40,2,True,0,0,0,0,0,0,1
122.319,A,40,2,True,0,0,0,0,0,0,1
122.3301,A,40,2,True,0,0,0,0,0,0,1
122.3412,A,40,2,True,0,0,0,0,0,0,1
122.3524,A,40,2,True,0,0,0,0,0,0,1
122.3635,A,40,2,True,0,0,0,0,0,0,1
122.3746,A,40,2,True,0,0,0,0,0,0,1
122.3857,A,40,2,True,0,0,0,0,0,0,1
122.3968,A,40,2,True,0,0,0,0,0,0,1
122.4079,A,40,2,True,0,0,0,0,0,0,1
122.419,A,40,2,True,0,0,0,0,0,0,1
122.4301,A,40,2,True,0,0,0,0,0,0,1
122.4412,A,40,2,True,0,0,0,0,0,0,1
122.4523,A,40,2,True,0,0,0,0,0,0,1
122.4634,A,40,2,True,0,0,0,0,0,0,1
122.4745,A,40,2,True,0,0,0,0,0,0,1
122.4857,A,40,2,True,0,0,0,0,0,0,1
122.4968,A,40,2,True,0,0,0,0,0,0,1
122.5079,A,40,2,True,0,0,0,0,0,0,1
122.519,A,40,2,True,0,0,0,0,0,0,1
122.5301,A,40,2,True,0,0,0,0,0,0,1
122.5412,A,40,2,True,0,0,0,0,0,0,1
122.5523,A,40,2,True,0,0,0,0,0,0,1
122.5634,A,40,2,True,0,0,0,0,0,0,1
122.5745,A,40,2,True,0,0,0,0,0,0,1
122.5856,A,40,2,True,0,0,0,0,0,0,1
122.5967,A,40,2,True,0,0,0,0,0,0,1
